P	x1	T	y1	K1	K2	Gamma1	Gamma2
5	0,15	395,0548	0,379346	2,528974	0,7301811	1,905423	1,018571
5	0,2	392,5839	0,4424655	2,212328	0,6969181	1,785796	1,033852
5	0,25	390,6821	0,491985	1,96794	0,6773533	1,676165	1,054212
5	0,3	389,1935	0,532314	1,77438	0,6681229	1,57681	1,080057
5	0,35	388,0116	0,5662965	1,61799	0,6672362	1,487474	1,111884
5	0,4	387,0616	0,5958773	1,489693	0,6735379	1,407637	1,150306
5	0,45	386,29	0,622466	1,383258	0,6864246	1,336677	1,196074
5	0,5	385,6584	0,6471526	1,294305	0,7056959	1,273958	1,250104
5	0,55	385,1398	0,6708359	1,219702	0,7314757	1,218876	1,313506
5	0,6	384,716	0,6943251	1,157209	0,7641872	1,170886	1,387617
5	0,65	384,3766	0,718405	1,105239	0,8045571	1,12951	1,474043
5	0,7	384,1183	0,7439034	1,062719	0,8536555	1,094348	1,574699
5	0,75	383,9448	0,7717581	1,02901	0,9129691	1,065069	1,691854
5	0,8	383,8676	0,8030963	1,00387	0,984518	1,041415	1,828171
5	0,85	383,9074	0,8393449	0,9874645	1,071034	1,023195	1,986733
5	0,9	384,0957	0,8823773	0,9804192	1,176227	1,010272	2,17103
5	0,95	384,4778	0,9347408	0,9839377	1,305184	1,00256	2,384883
5	1	385,1166	1	0,9999994	1,464972	1	2,632237
5,5	0	413,3222	0	4,444105	0,9999999	2,27433	1
5,5	0,05	406,8581	0,1778134	3,556268	0,8654596	2,14709	1,001912
5,5	0,1	402,2682	0,296138	2,96138	0,7820689	2,017525	1,007894
5,5	0,15	398,8902	0,3805312	2,536874	0,7287869	1,892643	1,018259
5,5	0,2	396,3379	0,4439878	2,219939	0,6950153	1,775807	1,033309
5,5	0,25	394,3697	0,4937972	1,975189	0,674937	1,668432	1,05338
5,5	0,3	392,8262	0,5343726	1,781242	0,665182	1,570886	1,078878
5,5	0,35	391,5985	0,5685618	1,624462	0,6637511	1,482988	1,110299
5,5	0,4	390,6098	0,5983125	1,495781	0,6694791	1,404287	1,148255
5,5	0,45	389,8052	0,6250362	1,38897	0,6817518	1,334218	1,193493
5,5	0,5	389,145	0,6498229	1,299645	0,7003557	1,272191	1,246925
5,5	0,55	388,6013	0,67357	1,224673	0,7254001	1,217641	1,309656
5,5	0,6	388,1551	0,697084	1,161807	0,7572899	1,170052	1,383019
5,5	0,65	387,7953	0,7211447	1,109453	0,7967294	1,128973	1,468613
5,5	0,7	387,5179	0,7465721	1,066532	0,8447598	1,094024	1,568352
5,5	0,75	387,3261	0,7742925	1,03239	0,9028298	1,064891	1,684505
5,5	0,8	387,2309	0,8054182	1,006773	0,972909	1,041331	1,819741
5,5	0,85	387,2525	0,8413508	0,9898247	1,057659	1,023163	1,977156
5,5	0,9	387,4218	0,8839307	0,9821452	1,160693	1,010265	2,16027
5,5	0,95	387,7838	0,9356522	0,9848971	1,286955	1,00256	2,372956
5,5	1	388,4009	1	0,9999993	1,443304	1	2,619242
6	0	417,277	0	4,450479	0,9999999	2,251676	1
6	0,05	410,653	0,1781837	3,563674	0,8650698	2,128665	1,001879
6	0,1	405,941	0,2968958	2,968958	0,7812269	2,002769	1,007765
6	0,15	402,4669	0,3816419	2,544279	0,7274801	1,880964	1,017976
6	0,2	399,8374	0,4454064	2,227032	0,693242	1,766655	1,032815
6	0,25	397,8061	0,4954797	1,981919	0,6726938	1,66133	1,052622
6	0,3	396,2106	0,5362787	1,787596	0,662459	1,565432	1,077803
6	0,35	394,9394	0,5706551	1,630443	0,6605306	1,478848	1,108854
6	0,4	393,9139	0,6005595	1,501399	0,6657342	1,401188	1,146383
6	0,45	393,0777	0,6274048	1,394233	0,6774456	1,331938	1,191136
6	0,5	392,3903	0,6522803	1,304561	0,6954394	1,270548	1,24402
6	0,55	391,8227	0,6760847	1,229245	0,7198118	1,216488	1,306135
6	0,6	391,3551	0,6996197	1,166033	0,7509508	1,16927	1,378809
6	0,65	390,9758	0,7236609	1,113325	0,7895402	1,128468	1,463639
6	0,7	390,6802	0,7490215	1,070031	0,836595	1,093717	1,562534
6	0,75	390,471	0,7766176	1,03549	0,8935297	1,06472	1,677762
6	0,8	390,3586	0,8075466	1,009433	0,9622679	1,041249	1,811997
6	0,85	390,3627	0,8431885	0,9919866	1,045408	1,023132	1,968348
6	0,9	390,514	0,8853525	0,983725	1,146475	1,010258	2,15036
6	0,95	390,8568	0,9364857	0,9857744	1,270286	1,00256	2,361952
6	1	391,4532	1	0,9999992	1,423514	1	2,607226
